ID,Parking,Phone,Description,Renovation_type,Balcony,Windows,WC,Chld_pets_allowed,Lift,Refuse_chute,City,Price_per_month,Res_complex_name,Total_sqr_mtr,Rooms_qty,Room_type,Station,Line,AdmArea,District,Floor,N_of_floor,Bld_type,Furniture_rooms,Furniture_kitchen,Street,Bld.,Time_to_subway,Accessibility,price_per_m,Ceiling_height
271271157,5,1,1,2,0,0,0,2,1,0,1,13.122365377402328,359,5.303304908059076,4,0,208,6,9,36,5,16,5,1,1,1563,872,9,2,7.824445930877619,3.0
271634126,5,1,1,2,0,1,1,1,1,2,1,13.122365377402328,359,5.293304824724492,4,0,208,6,9,36,5,16,4,1,1,1563,872,8,2,7.834492268322487,3.5
271173086,5,1,1,3,0,1,1,1,1,1,1,13.122365377402328,359,5.303304908059076,4,2,208,6,9,36,5,16,1,1,1,1563,872,7,2,7.824445930877619,3.2
272197456,5,1,1,3,0,1,1,3,1,1,1,12.899222326086994,170,5.14166355650266,4,2,208,6,9,36,5,6,1,1,1,1177,721,3,2,7.763846298752938,3.2
273614615,0,1,1,3,0,1,1,0,1,0,1,12.323860125621126,72,4.07753744390572,2,0,10,6,9,36,12,26,6,1,1,1563,396,7,2,8.263670415198932,3.9
274837728,0,1,1,2,0,0,0,0,0,1,1,13.060490101343552,66,4.532599493153256,3,0,208,6,9,36,3,7,1,1,1,29,701,5,2,8.538895122162561,2.64
273643908,3,1,1,3,0,1,1,2,1,1,1,12.765691290604371,170,5.365976015021851,5,2,10,6,9,36,4,5,1,1,1,1180,1205,4,2,7.405004654080247,3.2
274475342,5,1,1,3,0,1,1,2,1,2,1,12.429220196836383,170,4.59511985013459,3,0,208,6,9,36,2,4,5,1,1,1300,1301,3,2,7.8446406413618845,3.2
273973191,4,1,1,3,0,1,1,3,1,2,1,11.775297421715827,170,4.795790545596741,3,0,208,6,9,36,5,10,7,0,1,707,580,9,2,6.988720637805241,3.0
272900409,4,1,1,3,1,1,1,1,1,0,1,12.25486757159303,170,4.51085950651685,4,0,10,6,9,36,2,7,7,1,1,1300,983,10,2,7.7554816189874085,3.1
271036964,5,1,1,3,0,1,1,1,1,1,1,12.577639650232573,170,5.14166355650266,4,2,208,6,9,36,6,7,1,1,1,630,1226,5,2,7.442423800056802,3.2
273999490,0,1,1,3,1,1,1,0,1,1,1,11.51293546492023,170,4.394449154672439,3,1,208,6,9,36,4,8,3,1,1,707,1662,2,2,7.1316985104669115,2.64
274017037,0,1,1,2,0,1,1,2,1,1,1,12.206077645517674,170,4.61512051684126,3,0,208,6,9,36,2,4,3,1,1,291,265,8,2,7.601402334583733,2.64
273231024,0,1,1,2,1,1,1,2,1,1,1,13.122365377402328,170,5.198497031265826,5,0,208,6,9,36,6,8,5,1,1,1024,308,9,2,7.929766461729666,2.64
274839211,5,1,1,3,1,0,1,0,1,1,1,13.017005083966255,468,5.408068230507156,5,2,96,63,9,104,5,9,5,1,1,1049,1872,5,2,7.61391864045062,2.64
274767901,0,1,1,2,0,0,0,0,1,0,1,13.017005083966255,468,5.420534999272286,5,0,96,63,9,104,5,9,5,0,0,1049,1872,6,2,7.601402334583733,2.64
274995950,0,1,1,3,0,1,1,2,0,1,1,11.695255355062795,72,3.4339872044851463,2,0,10,6,9,36,19,26,1,1,1,1563,396,10,2,8.294299608857235,2.64
274945807,0,1,1,2,1,0,0,2,0,1,1,13.017005083966255,468,5.407171771460119,5,0,10,6,9,36,5,9,1,1,1,1049,1872,5,2,7.614818691558675,2.64
272911145,3,1,1,3,1,0,1,0,1,1,1,12.100717685412471,170,5.017279836814924,5,1,3,70,9,27,4,7,3,1,1,803,553,12,2,7.0909098220799835,2.64
274748017,0,1,1,3,0,1,1,2,1,1,1,12.154784614286667,170,5.308267697401205,5,2,96,63,9,104,3,3,1,0,1,1049,1882,6,2,6.852531778644084,3.2
273941734,0,1,1,3,0,1,1,2,0,2,1,12.230770136157428,72,4.174387269895637,2,2,10,6,9,36,12,26,1,1,1,1563,396,9,2,8.072194321160067,2.64
274493570,5,1,1,3,1,1,1,1,1,1,1,12.345838935721968,170,4.727387818712341,3,2,96,63,9,104,2,7,1,1,1,1182,318,5,2,7.627822554607126,3.2
274849101,0,1,1,2,0,0,0,0,0,1,1,13.28787951079572,170,5.25227342804663,4,0,208,6,9,36,4,5,1,1,1,622,1645,5,2,8.041175725777935,2.64
223918678,0,1,1,3,0,1,1,2,0,1,1,13.652992804936396,468,5.547518452181536,5,0,10,6,9,36,8,9,5,1,1,1049,1872,8,2,8.10967856664252,2.64
274391259,4,1,1,3,0,1,1,2,0,0,1,12.154784614286667,170,5.231108616854587,5,0,10,6,9,36,3,3,9,1,1,1049,1882,5,2,6.930011145941359,3.3
272945376,3,1,1,3,0,1,1,2,1,1,1,12.206077645517674,407,4.61512051684126,3,2,10,6,9,36,3,8,1,1,1,377,920,5,2,7.601402334583733,3.2
