ID,Parking,Phone,Description,Renovation_type,Balcony,Windows,WC,Chld_pets_allowed,Lift,Refuse_chute,City,Price_per_month,Res_complex_name,Total_sqr_mtr,Rooms_qty,Room_type,Station,Line,AdmArea,District,Floor,N_of_floor,Bld_type,Furniture_rooms,Furniture_kitchen,Street,Bld.,Time_to_subway,Accessibility,price_per_m,Ceiling_height
271271157,5,1,1,2,0,0,0,2,1,0,1,500000,359,200.0,4,0,208,6,9,36,5,16,5,1,1,1563,872,9,2,2500.0,3.0
271634126,5,1,1,2,0,1,1,1,1,2,1,500000,359,198.0,4,0,208,6,9,36,5,16,4,1,1,1563,872,8,2,2525.252525252525,3.5
271173086,5,1,1,3,0,1,1,1,1,1,1,500000,359,200.0,4,2,208,6,9,36,5,16,1,1,1,1563,872,7,2,2500.0,3.2
272197456,5,1,1,3,0,1,1,3,1,1,1,400000,170,170.0,4,2,208,6,9,36,5,6,1,1,1,1177,721,3,2,2352.9411764705883,3.2
273614615,0,1,1,3,0,1,1,0,1,0,1,225000,72,58.0,2,0,10,6,9,36,12,26,6,1,1,1563,396,7,2,3879.310344827586,3.9
274837728,0,1,1,2,0,0,0,0,0,1,1,470000,66,92.0,3,0,208,6,9,36,3,7,1,1,1,29,701,5,2,5108.695652173913,2.64
273643908,3,1,1,3,0,1,1,2,1,1,1,350000,170,213.0,5,2,10,6,9,36,4,5,1,1,1,1180,1205,4,2,1643.1924882629107,3.2
274475342,5,1,1,3,0,1,1,2,1,2,1,250000,170,98.0,3,0,208,6,9,36,2,4,5,1,1,1300,1301,3,2,2551.0204081632655,3.2
273973191,4,1,1,3,0,1,1,3,1,2,1,130000,170,120.0,3,0,208,6,9,36,5,10,7,0,1,707,580,9,2,1083.3333333333333,3.0
272900409,4,1,1,3,1,1,1,1,1,0,1,210000,170,90.0,4,0,10,6,9,36,2,7,7,1,1,1300,983,10,2,2333.3333333333335,3.1
271036964,5,1,1,3,0,1,1,1,1,1,1,290000,170,170.0,4,2,208,6,9,36,6,7,1,1,1,630,1226,5,2,1705.8823529411766,3.2
273999490,0,1,1,3,1,1,1,0,1,1,1,100000,170,80.0,3,1,208,6,9,36,4,8,3,1,1,707,1662,2,2,1250.0,2.64
274017037,0,1,1,2,0,1,1,2,1,1,1,200000,170,100.0,3,0,208,6,9,36,2,4,3,1,1,291,265,8,2,2000.0,2.64
273231024,0,1,1,2,1,1,1,2,1,1,1,500000,170,180.0,5,0,208,6,9,36,6,8,5,1,1,1024,308,9,2,2777.777777777778,2.64
274839211,5,1,1,3,1,0,1,0,1,1,1,450000,468,222.2,5,2,96,63,9,104,5,9,5,1,1,1049,1872,5,2,2025.2025202520254,2.64
274767901,0,1,1,2,0,0,0,0,1,0,1,450000,468,225.0,5,0,96,63,9,104,5,9,5,0,0,1049,1872,6,2,2000.0,2.64
274995950,0,1,1,3,0,1,1,2,0,1,1,120000,72,30.0,2,0,10,6,9,36,19,26,1,1,1,1563,396,10,2,4000.0,2.64
274945807,0,1,1,2,1,0,0,2,0,1,1,450000,468,222.0,5,0,10,6,9,36,5,9,1,1,1,1049,1872,5,2,2027.027027027027,2.64
272911145,3,1,1,3,1,0,1,0,1,1,1,180000,170,150.0,5,1,3,70,9,27,4,7,3,1,1,803,553,12,2,1200.0,2.64
274748017,0,1,1,3,0,1,1,2,1,1,1,190000,170,201.0,5,2,96,63,9,104,3,3,1,0,1,1049,1882,6,2,945.273631840796,3.2
273941734,0,1,1,3,0,1,1,2,0,2,1,205000,72,64.0,2,2,10,6,9,36,12,26,1,1,1,1563,396,9,2,3203.125,2.64
274493570,5,1,1,3,1,1,1,1,1,1,1,230000,170,112.0,3,2,96,63,9,104,2,7,1,1,1,1182,318,5,2,2053.5714285714284,3.2
274849101,0,1,1,2,0,0,0,0,0,1,1,590000,170,190.0,4,0,208,6,9,36,4,5,1,1,1,622,1645,5,2,3105.2631578947367,2.64
223918678,0,1,1,3,0,1,1,2,0,1,1,850000,468,255.6,5,0,10,6,9,36,8,9,5,1,1,1049,1872,8,2,3325.508607198748,2.64
274391259,4,1,1,3,0,1,1,2,0,0,1,190000,170,186.0,5,0,10,6,9,36,3,3,9,1,1,1049,1882,5,2,1021.505376344086,3.3
272945376,3,1,1,3,0,1,1,2,1,1,1,200000,407,100.0,3,2,10,6,9,36,3,8,1,1,1,377,920,5,2,2000.0,3.2
271568490,0,1,1,2,0,1,0,1,1,1,1,300000,170,140.0,5,0,208,6,9,36,2,7,1,1,1,1177,681,7,2,2142.8571428571427,2.64
264664760,0,1,1,3,0,0,1,2,0,1,1,400000,212,132.8,3,0,10,6,9,36,5,13,5,1,1,1563,1025,15,2,3012.048192771084,2.64
228923308,5,1,1,2,0,1,1,2,1,0,1,750000,468,256.0,5,0,10,6,9,36,8,10,4,1,1,1049,1872,10,2,2929.6875,3.0
267489303,4,1,1,4,0,1,1,2,1,0,1,870000,170,380.0,6,0,10,6,9,36,3,6,9,0,1,1180,1408,5,2,2289.4736842105262,4.0
273353104,5,1,1,1,0,0,1,0,0,0,1,350000,212,112.0,3,0,208,6,9,36,3,13,4,1,1,1563,1025,7,2,3125.0,3.15
273353103,5,1,1,1,0,0,1,0,0,0,1,400000,212,91.0,2,0,208,6,9,36,10,13,4,1,1,1563,1025,7,2,4395.604395604396,3.15
268321690,5,1,1,2,0,1,1,2,1,1,1,400000,212,135.0,3,0,10,6,9,36,5,13,4,1,1,1563,1025,11,2,2962.962962962963,2.64
272188531,0,1,1,1,0,0,1,0,0,0,1,135000,72,44.0,2,0,10,6,9,36,21,26,1,1,1,1563,396,15,2,3068.181818181818,4.15
272727784,0,1,1,3,1,0,1,2,0,1,1,150000,170,85.0,3,0,208,6,9,36,7,7,1,1,1,1300,403,9,0,1764.7058823529412,2.64
267110043,0,1,1,1,1,1,1,1,1,0,1,320000,66,100.0,2,0,208,6,9,36,5,7,4,1,1,29,701,7,2,3200.0,3.0
265323319,5,1,1,1,0,0,1,1,0,0,1,400000,212,133.3,3,0,208,6,9,36,5,13,4,1,1,1563,1025,7,2,3000.7501875468865,3.15
265804792,0,1,1,1,1,1,1,3,0,0,1,400000,170,210.0,4,0,208,6,9,36,3,5,1,1,1,1177,721,7,2,1904.7619047619048,3.8
239000408,0,1,1,1,0,0,1,2,0,0,1,450000,170,180.0,4,0,10,6,9,36,4,4,1,1,1,304,438,9,2,2500.0,2.64
271209314,0,1,1,1,0,0,1,3,1,0,1,470000,359,165.0,4,0,208,6,9,36,9,16,4,1,1,1563,872,5,2,2848.4848484848485,3.35
269889430,0,1,1,1,0,0,1,3,0,0,1,590000,170,190.0,4,0,208,6,9,36,4,6,1,1,1,622,1645,6,2,3105.2631578947367,4.05
241704098,0,1,1,1,0,0,1,1,1,0,1,600000,359,168.0,4,0,208,6,9,36,4,16,4,1,1,1563,872,5,2,3571.4285714285716,3.35
239000331,0,1,1,1,0,0,1,3,1,0,1,850000,468,250.0,5,0,96,63,9,104,8,9,4,1,1,1049,1872,8,2,3400.0,2.64
274402813,5,1,1,3,0,1,1,2,0,1,1,195000,196,105.0,3,0,208,6,9,36,6,17,4,1,1,631,1778,5,2,1857.142857142857,2.64
270190788,5,1,1,3,1,0,1,2,1,1,1,300000,196,134.0,3,2,208,6,9,36,8,16,5,1,1,631,1778,5,2,2238.805970149254,2.64
271265359,3,1,1,3,0,1,1,1,1,1,1,90000,170,60.0,2,2,208,6,9,36,5,6,1,1,1,1300,1323,5,2,1500.0,3.2
274289253,0,1,1,2,1,0,0,0,0,1,1,150000,170,85.0,3,0,10,6,9,36,7,7,1,1,1,1300,403,7,2,1764.7058823529412,2.64
274150874,0,1,1,2,0,0,0,0,0,1,1,250000,170,150.0,5,0,208,6,9,36,4,6,1,1,1,1300,1344,4,2,1666.6666666666667,2.64
274849686,5,1,1,3,0,1,1,0,1,1,1,350000,355,142.0,4,2,208,6,9,36,12,13,1,1,1,29,511,5,2,2464.788732394366,3.2
274315381,0,1,1,3,1,1,0,2,1,1,1,450000,468,222.0,5,0,10,6,9,36,7,9,1,1,1,1049,1872,6,2,2027.027027027027,2.64
273779074,0,1,1,1,0,1,1,2,1,1,1,120000,170,60.0,2,0,208,6,9,36,3,6,3,1,0,291,970,7,2,2000.0,3.6
274217247,0,1,1,1,0,1,1,1,0,1,1,120000,170,103.0,3,0,208,6,9,36,2,3,3,0,0,1300,1004,8,2,1165.0485436893205,3.8
272156997,3,1,1,3,0,1,1,2,1,1,1,175000,170,170.0,5,0,96,63,9,104,5,5,3,1,1,377,754,5,2,1029.4117647058824,3.2
274617827,0,1,1,3,0,1,0,2,0,1,1,190000,170,200.0,5,0,96,63,9,104,3,3,3,0,1,1049,1882,8,2,950.0,2.64
274252871,5,1,1,1,1,1,1,2,1,0,1,240000,196,105.0,3,0,208,6,9,36,6,17,5,1,1,631,1778,5,2,2285.714285714286,3.0
269132104,5,1,1,3,0,1,1,1,1,2,1,250000,212,60.0,1,0,208,6,9,36,2,12,4,1,1,1563,1025,10,2,4166.666666666667,3.0
273911217,0,1,1,2,0,1,0,0,1,1,1,250000,170,155.0,5,0,208,6,9,36,4,6,1,1,1,1300,1344,6,2,1612.9032258064517,2.64
